precio,piezas,distancia del centro
254869,1,11.12
108532,4,49.92
331781,4,35.91
54689,3,20.52
429578,5,1.18
322027,5,16.94
406549,2,9.74
87232,1,13.49
115333,3,1.6
146210,1,16.03
249479,5,32.27
326339,3,16.15
170307,6,4.05
394107,3,24.72
321230,5,2.5
160130,6,10.05
126084,3,34.62
420408,3,48.21
155458,2,31.31
60918,6,8.01
179958,1,5.58
180512,5,42.94
387622,4,28.03
456442,5,45.87
105555,4,18.67
303515,6,38.9
454448,4,39.19
248358,6,6.59
244398,3,19.0
447144,5,27.54
273404,2,1.38
370481,2,11.17
286259,3,38.43
324907,1,2.25
415941,2,1.62
219553,5,18.35
327456,1,49.81
316781,6,40.23
170432,4,19.12
61950,4,30.65
306422,4,11.26
208743,6,21.13
224573,5,26.79
198222,6,24.99
459464,4,14.59
222787,2,29.18
216005,2,10.55
498752,5,32.81
373180,5,46.75
458919,2,8.48
411234,2,6.86
234901,5,3.94
63198,1,6.46
391200,5,27.4
184051,4,40.18
81697,3,29.86
228401,1,42.99
318188,4,39.52
409637,3,8.09
284121,5,31.16
98719,3,29.81
177161,6,48.19
476569,2,36.01
426370,5,20.52
494224,2,26.62
134381,6,40.6
220788,1,16.41
200876,5,1.22
106929,5,1.82
132981,4,30.08
423707,5,25.53
177870,5,44.96
162457,1,27.22
254108,6,26.52
181101,3,28.7
492180,2,37.92
199064,5,31.83
298847,2,7.12
252234,2,18.96
197174,5,24.56
476724,4,44.91
235968,2,42.22
377528,5,31.8
66703,5,19.3
389788,2,32.31
239935,4,4.77
129913,3,36.49
333337,2,29.93
453418,4,16.08
215348,2,21.13
375840,5,23.04
190629,4,19.22
425778,4,41.37
164215,1,25.24
236791,4,12.19
66658,3,24.67
130286,2,39.58
490515,5,6.47
282306,1,30.95
295587,5,13.2
180859,2,48.38
143217,1,42.63
332606,3,43.83
148769,2,22.11
404090,2,38.54
97661,3,39.55
226989,4,2.68
241267,4,33.06
294779,3,23.52
269918,1,29.81
295455,5,46.39
338715,1,15.59
70551,2,43.21
175895,2,35.55
311681,6,43.35
121430,6,46.2
446561,2,32.19
209542,2,32.71
295086,6,46.08
337959,5,20.7
493483,2,13.34
304607,2,11.75
410185,1,30.64
348855,3,48.01
351688,4,22.82
118615,6,5.46
497575,2,27.65
120804,1,8.03
367682,3,37.32
241386,4,1.64
132456,3,22.2
128209,4,30.92
110918,5,30.18
116811,6,23.74
207535,4,27.91
126178,3,42.6
280628,3,16.19
449962,3,10.19
353621,1,6.37
478226,2,6.42
264243,5,23.58
393843,6,40.16
379263,4,24.1
208291,3,8.71
320651,6,39.78
214413,3,49.1
53506,4,7.37
493632,1,19.4
126506,6,1.62
106011,6,25.22
472342,1,18.46
189891,5,19.26
409243,3,30.3
463928,4,3.07
120725,3,30.38
363342,2,13.28
329860,6,37.9
50680,1,27.34
90630,6,7.29
126412,5,21.49
447206,6,42.2
317352,1,23.49
189374,5,22.35
216810,6,22.27
479651,2,46.54
56911,2,47.08
475185,6,23.53
215731,3,3.64
274839,4,39.46
130641,4,44.66
438575,6,25.65
402347,6,43.43
294462,1,49.84
165207,6,49.28
109604,4,31.89
286106,4,46.81
390685,4,25.26
116124,2,19.65
396211,4,3.58
263492,1,10.55
394524,2,17.41
149775,2,39.69
387532,4,47.89
384342,6,41.08
281665,4,13.38
117703,3,27.46
211996,5,17.48
183991,6,39.52
163699,4,2.56
390664,5,25.16
249783,5,38.62
203602,6,49.17
69449,3,40.9
353615,3,13.63
376610,2,16.04
280147,6,41.54
100393,5,47.15
397835,6,3.06
224936,1,17.31
106546,5,35.99
